,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Pseudanthias pleurotaenia,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Scaridae sp,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,SSE,LE,NA,NA,H,0,,,,
Scarus quoyi,NA,NA,NA,NA,NA,NA,Herb,NA,NA,NA,NA,,NA,SSE,SSE,NA,NA,H,0,,,,
Synchiropus moyeri,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Trimmatom eviotops,NA,NA,NA,NA,NA,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Acanthocybium solandri,ACSO,Scombridae,Scombridae,Mackerel,PISCIVORE,NA,NA,250,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Aethaloperca rogaa,AERO,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,60,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,60,1,NA,NA,,,,
Alectis ciliaris,ALCI,Carangidae,Carangidae,Jack,PISCIVORE,NA,NA,150,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Abudefduf septemfasciatus,ABSP,Pomacentridae,Pomacentridae,Damselfish,PRIMARY,Omnivore,Herb,23,Reef,1,Planktivore,,Benthic omnivore,OTH_HERB,OTH_HERB,23,4,H,0,,,,
Anyperodon leucogrammicus,ANLE,Serranidae,Serranidae,Grouper,PISCIVORE,NA,NA,65,Reef,1,Piscivore,Diurnal piscivore,NA,NA,NA,NA,NA,NA,NA,,,,
Aphareus furca,APFU,Lutjanidae,Lutjanidae,Snapper,PISCIVORE,Carnivore,NA,70,Pelagic,0,Piscivore,,Nocturnal piscivore,NA,NA,70,3,NA,NA,,,,
Aprion virescens,APVI,Lutjanidae,Lutjanidae,Snapper,PISCIVORE,Carnivore,NA,112,Reef,1,Piscivore,Nocturnal piscivore,Nocturnal piscivore,NA,NA,112,3,NA,NA,,,,
Aprion virescens,APVI,Lutjanidae,Lutjanidae,Snapper,PISCIVORE,Carnivore,NA,112,Reef,1,Piscivore,Nocturnal piscivore,Nocturnal piscivore,NA,NA,112,3,NA,NA,,,,
Aulostomus chinensis,AUCH,Aulostomidae,Aulostomidae,Trumpetfish,PISCIVORE,Carnivore,NA,80,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,80,1,NA,NA,,,,
Belonidae,NEED,Belonidae,NA,Needlefish,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Carangidae,JACK,Carangidae,NA,Jack,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Carangoides ferdau,CAFE,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,70,Pelagic,0,Piscivore,,Invertivore,NA,NA,70,4,NA,NA,,,,
Carangoides orthogrammus,CAOR,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,75,Pelagic,0,Piscivore,,Invertivore,NA,NA,70,3,NA,NA,,,,
Caranx ignobilis,CAIG,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,170,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,165,3,NA,NA,,,,
Caranx lugubris,CALU,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,100,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,100,3,NA,NA,,,,
Caranx melampygus,CAME,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,117,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,117,3,NA,NA,,,,
Caranx papuensis,CAPP,Carangidae,Carangidae,Jack,PISCIVORE,NA,NA,88,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caranx sexfasciatus,CASE,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,120,Pelagic,0,Piscivore,,Nocturnal piscivore,NA,NA,100,4,NA,NA,,,,
Caranx sp,CASP,Carangidae,Carangidae,Jack,PISCIVORE,NA,NA,80,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Carcharhinus amblyrhynchos,CAAB,Carcharhinidae,Carcharhinidae,Requiem,PISCIVORE,Carnivore,NA,255,Unknown,0,Piscivore,,Piscivore,NA,NA,240,1,NA,NA,,,,
Carcharhinus galapagensis,CAGA,Carcharhinidae,Carcharhinidae,Requiem,PISCIVORE,Carnivore,NA,370,Unknown,0,Piscivore,,Piscivore,NA,NA,370,1,NA,NA,,,,
Carcharhinus melanopterus,CAML,Carcharhinidae,Carcharhinidae,Requiem,PISCIVORE,Carnivore,NA,200,Unknown,0,Piscivore,,Piscivore,NA,NA,200,1,NA,NA,,,,
Cephalopholis argus,CEAR,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,60,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,60,1,NA,NA,,,,
Cephalopholis argus,CEAR,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,60,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,60,1,NA,NA,,,,
Abudefduf sordidus,ABSO,Pomacentridae,Pomacentridae,Damselfish,PRIMARY,Omnivore,Herb,24,Reef,1,Planktivore,,Benthic omnivore,GD ,GD ,24,4,H,0,,,,
Cephalopholis miniata,CEMI,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,50,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,45,1,NA,NA,,,,
Cephalopholis sonnerati,CESO,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,57,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,50,1,NA,NA,,,,
Parupeneus cyclostomus,PACY,Mullidae,Mullidae,Goatfish,PISCIVORE,Carnivore,NA,50,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,50,1,NA,NA,,,,
Cephalopholis leopardus,CELE,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,24,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,20,1,NA,NA,,,,
Melichthys vidua,MEVI,Balistidae,Balistidae,Triggerfish,PRIMARY,Omnivore,Herb,40,Reef,1,Planktivore,,Benthic omnivore,OTH_HERB,OTH_HERB,34,4,H,0,,,,
Naso maculatus,NAMA,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Herbivore,Planktivore,60,Reef,1,Planktivore,,Browser,B ,PK,60,3,Pk,20,,,,
Paracanthurus hepatus,PAHP,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Herbivore/Planktivore,NA,31,Reef,1,Planktivore,Diurnal planktivore,Browser/,NA,NA,31,4,NA,NA,,,,
Acanthurus achilles,ACAC,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,24,Reef,1,Grazer,,Grazer,GD ,GD ,25,4,H,0,,,,
Congridae,CONG,Congridae,NA,Conger or Garden Eel,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Belonoperca chabanaudi,BECH,Serranidae,Serranidae,Grouper,SECONDARY,NA,NA,15,Reef,1,Piscivore,Pisci-invertivore,NA,NA,NA,NA,NA,NA,NA,,,,
Caracanthus maculatus,CAMC,Caracanthidae,Caracanthidae,Velvetfish,SECONDARY,Carnivore,NA,5,Reef,1,Piscivore,Pisci-invertivore,Generalist carnivore,NA,NA,5,1,NA,NA,,,,
Caracanthus typicus,CATY,Caracanthidae,Caracanthidae,Velvetfish,SECONDARY,Carnivore,NA,2.9,Reef,1,Piscivore,Pisci-invertivore,Generalist carnivore,NA,NA,2.9,1,NA,NA,,,,
Cheilio inermis,CHIN,Labridae,Labridae,Wrasse,SECONDARY,NA,NA,50,Reef,1,Piscivore,Pisci-invertivore,NA,NA,NA,NA,NA,NA,NA,,,,
Abudefduf abdominalis,ABAB,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,30,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,25,4,Pk,0,,,,
Acanthurus blochii,ACBL,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,45,Reef,1,Grazer,,Grazer,GD ,GD ,43,3,H,0,,,,
Elagatis bipinnulata,ELBI,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,180,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,180,4,NA,NA,,,,
Elagatis bipinnulata,ELBI,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,180,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,180,4,NA,NA,,,,
Enchelycore pardalis,ENPA,Muraenidae,Muraenidae,Moray,PISCIVORE,NA,NA,92,Reef,1,Piscivore,Diurnal piscivore,NA,NA,NA,NA,NA,NA,NA,,,,
Enchelynassa canina,ENCA,Muraenidae,Muraenidae,Moray,PISCIVORE,NA,NA,250,Reef,1,Piscivore,Nocturnal piscivore,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus guttatus,ACGU,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,26,Reef,1,Grazer,,Grazer,GD ,GD ,29,5,H,0,,,,
Acanthurus leucocheilus,ACLU,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,NA,45,Reef,1,Grazer,,Grazer,NA,NA,45,3,NA,NA,,,,
Epinephelus fasciatus,EPFA,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,40,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,43,1,NA,NA,,,,
Epinephelus hexagonatus,EPHE,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,27.5,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,26,1,NA,NA,,,,
Epinephelus howlandi,EPHO,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,55,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,55,1,NA,NA,,,,
Epinephelus lanceolatus,EPLA,Serranidae,Serranidae,Grouper,PISCIVORE,NA,NA,270,Reef,1,Piscivore,Pisci-invertivore,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus macrospilos,EPMC,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,51,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,51,1,NA,NA,,,,
Acanthurus leucopareius,ACLE,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,25,Reef,1,Grazer,,Grazer,GD ,GD ,25,4,H,0,,,,
Epinephelus maculatus,EPMA,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,60.5,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,60,1,NA,NA,,,,
Euthynnus affinis,EUAF,Scombridae,Scombridae,Tuna,PISCIVORE,Carnivore,NA,100,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,100,5,NA,NA,,,,
Fistularia commersonii,FICO,Fistulariidae,Fistulariidae,Cornetfish,PISCIVORE,Carnivore,NA,160,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,160,3,NA,NA,,,,
Epinephelus melanostigma,EPML,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,35,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,33,1,NA,NA,,,,
Acanthurus lineatus,ACLI,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,NA,38,Reef,1,Grazer,,Grazer,NA,NA,38,3,NA,NA,,,,
Acanthurus maculiceps,ACMA,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,NA,40,Reef,1,Grazer,,Grazer,NA,NA,41,3,NA,NA,,,,
Grammatorcynus bilineatus,GRBI,Scombridae,NA,Mackerel,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnosarda unicolor,GYUC,Scombridae,Scombridae,Tuna,PISCIVORE,Carnivore,NA,248,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,248,1,NA,NA,,,,
Epinephelus merra,EPME,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,32,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,33,1,NA,NA,,,,
Epinephelus polyphekadion,EPPO,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,90,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,75,1,NA,NA,,,,
Epinephelus quernus,EPQU,Serranidae,Serranidae,Grouper,PISCIVORE,NA,NA,122,Reef,1,Piscivore,Pisci-invertivore,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus retouti,EPRE,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,50,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,47,1,NA,NA,,,,
Epinephelus socialis,EPSO,Serranidae,Serranidae,Grouper,PISCIVORE,NA,NA,52,Reef,1,Piscivore,Pisci-invertivore,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus sp,EPSP,Serranidae,Serranidae,Grouper,PISCIVORE,NA,NA,51,Reef,1,Piscivore,Pisci-invertivore,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus spilotoceps,EPSL,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,35,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,35,1,NA,NA,,,,
Heterocongrinae,GARD,Congridae,NA,Conger or Garden Eel,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Cephalopholis spiloparaea,CESP,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,30,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,30,1,NA,NA,,,,
Hologymnosus annulatus,HOAN,Labridae,Labridae,Wrasse,SECONDARY,Carnivore,NA,40,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,40,1,NA,NA,,,,
Epinephelus tauvina,EPTA,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,90,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,75,1,NA,NA,,,,
Oxycheilinus digramma,OXDI,Labridae,Labridae,Wrasse,PISCIVORE,Carnivore,NA,40,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,30,1,NA,NA,,,,
Muraenidae,MORA,Muraenidae,NA,Moray,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Nebrius ferrugineus,NEFE,Ginglymostomatidae,Ginglymostomatidae,Nurse,PISCIVORE,Carnivore,NA,320,Shark,0,Pisci-invertivore,,Nocturnal piscivore,NA,NA,320,3,NA,NA,,,,
Acanthurus nigricans,ACNC,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,21.3,Reef,1,Grazer,,Grazer,GD ,GD ,23,3,H,0,,,,
Acanthurus nigricauda,ACNI,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,NA,40,Reef,1,Grazer,,Grazer,NA,NA,40,3,NA,NA,,,,
Acanthurus nigrofuscus,ACNF,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,21,Reef,1,Grazer,,Grazer,GD ,GD ,23,3,H,0,,,,
Acanthurus nigroris,ACNR,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,25,Reef,1,Grazer,,Grazer,GD ,GD ,25,3,H,0,,,,
Abudefduf sexfasciatus,ABSX,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,19,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,15,4,Pk,0,,,,
Ctenochaetus binotatus,CTBI,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Detritivore,NA,22,Reef,1,Detritivore,,Detritivore,NA,NA,22,3,NA,NA,,,,
Oxycheilinus unifasciatus,OXUN,Labridae,Labridae,Wrasse,PISCIVORE,Carnivore,NA,46,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,46,1,NA,NA,,,,
Platybelone argalus,PLAR,Belonidae,Belonidae,Needlefish,PISCIVORE,NA,NA,50,Pelagic,0,Piscivore,Detritivore,NA,NA,NA,NA,NA,NA,NA,,,,
Fistularia commersonii,FICO,Fistulariidae,Fistulariidae,Cornetfish,PISCIVORE,Carnivore,NA,160,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,160,3,NA,NA,,,,
Gracila albomarginata,GRAL,Serranidae,Serranidae,Grouper,PISCIVORE,Carnivore,NA,40,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,50,1,NA,NA,,,,
Acanthurus pyroferus,ACPY,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,NA,29,Reef,1,Grazer,,Grazer,NA,NA,25,3,NA,NA,,,,
Pseudocaranx dentex,PSDE,Carangidae,Carangidae,Jack,PISCIVORE,NA,NA,122,Pelagic,0,Piscivore,Detritivore,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus sp,ACSP,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,NA,NA,36,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Abudefduf vaigiensis,ABVA,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,20,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,20,4,Pk,0,,,,
Sarda orientalis,SAOR,Scombridae,NA,Tuna,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus triostegus,ACTR,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Herbivore,Herb,27,Reef,1,Grazer,,Grazer,GD ,GD ,27,5,H,0,,,,
Pervagor marginalis,PEMA,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Omnivore,NA,6.2,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,8.2,2,NA,NA,,,,
Scomberoides lysan,SCLY,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,110,Pelagic,0,Piscivore,,Diurnal piscivore,NA,NA,70,3,NA,NA,,,,
Scombridae,TUNA,Scombridae,NA,Tuna,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Valenciennea strigata,VAST,Gobiidae,Gobiidae,Goby,SECONDARY,Carnivore,NA,18,Reef,1,Detritivore,,Invertivore,NA,NA,16,2,NA,NA,,,,
Chrysiptera brownriggii,CHBR,Pomacentridae,Pomacentridae,Damselfish,PRIMARY,Omnivore,Herb,8,Reef,1,Micro-invertivore,,Benthic omnivore,TD,TD,9,3,H,0,,,,
Ctenochaetus cyanocheilus,CTCY,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Detritivore,NA,16,Reef,1,Detritivore,,Detritivore,NA,NA,20,3,NA,NA,,,,
Scuticaria tigrina,SCTI,Muraenidae,NA,Moray,PISCIVORE,NA,NA,NA,NA,NA,NA,Detritivore,NA,NA,NA,NA,NA,NA,NA,,,,
Ctenochaetus flavicauda,CTFL,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Detritivore,NA,11.8,Reef,1,Detritivore,,Detritivore,NA,NA,17,3,NA,NA,,,,
Seriola dumerili,SEDU,Carangidae,Carangidae,Jack,PISCIVORE,Carnivore,NA,190,Pelagic,0,Piscivore,Detritivore,Diurnal piscivore,NA,NA,190,3,NA,NA,,,,
Serranidae,GROU,Serranidae,NA,Grouper,PISCIVORE,NA,NA,NA,NA,NA,NA,Detritivore,NA,NA,NA,NA,NA,NA,NA,,,,
Sphyraena barracuda,SPBA,Sphyraenidae,Sphyraenidae,Barracuda,PISCIVORE,Carnivore,NA,200,Pelagic,0,Piscivore,Detritivore,Piscivore,NA,NA,200,3,NA,NA,,,,
Sphyraena helleri,SPHE,Sphyraenidae,Sphyraenidae,Barracuda,PISCIVORE,Carnivore,NA,80,Pelagic,0,Piscivore,Detritivore,Nocturnal piscivore,NA,NA,80,4,NA,NA,,,,
Sphyraena qenie,SPQE,Sphyraenidae,Sphyraenidae,Barracuda,PISCIVORE,Carnivore,NA,170,Pelagic,0,Piscivore,,Nocturnal piscivore,NA,NA,170,4,NA,NA,,,,
Sphyrna lewini,SPLE,Sphyrnidae,Sphyrnidae,Hammerhead,PISCIVORE,Carnivore,NA,430,Pelagic,0,Piscivore,,Nocturnal piscivore,NA,NA,400,4,NA,NA,,,,
Sphyrnidae,HAMM,Sphyrnidae,NA,Hammerhead,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Synodontidae,LIZA,Synodontidae,NA,Lizardfishes,PISCIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus albipectoralis,ACAL,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Planktivore,NA,33,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,NA,NA,33,4,NA,NA,,,,
Ctenochaetus hawaiiensis,CTHA,Acanthuridae,Acanthuridae,Surgeonfish,PRIMARY,Detritivore,Herb,25,Reef,1,Detritivore,,Detritivore,DT,DT,28,3,H,0,,,,
Acanthurus nubilus,ACNU,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,NA,26,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,NA,NA,26,3,NA,NA,,,,
Acanthurus thompsoni,ACTH,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,Planktivore,27,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,28,4,Pk,0,,,,
Thunnus albacares,THAL,Scombridae,Scombridae,Tuna,PISCIVORE,Carnivore,NA,239,Pelagic,0,Piscivore,Detritivore,Generalist carnivore,NA,NA,210,4,NA,NA,,,,
Trachinotus baillonii,TRBA,Carangidae,NA,Jack,PISCIVORE,Carnivore,NA,NA,NA,NA,NA,Detritivore,Diurnal piscivore,NA,NA,54,3,NA,NA,,,,
Triaenodon obesus,TROB,Carcharhinidae,Carcharhinidae,Requiem,PISCIVORE,Carnivore,NA,213,Unknown,0,Piscivore,Detritivore,Nocturnal piscivore,NA,NA,213,1,NA,NA,,,,
Tylosurus crocodilus,TYCR,Belonidae,Belonidae,Needlefish,PISCIVORE,Carnivore,NA,150,Pelagic,0,Piscivore,Detritivore,Nocturnal piscivore,NA,NA,135,3,NA,NA,,,,
Grammistes sexlineatus,GRSE,Serranidae,Serranidae,Grouper,SECONDARY,Carnivore,NA,30,Reef,1,Piscivore,Diurnal piscivore,Diurnal piscivore,NA,NA,27,1,NA,NA,,,,
Gymnothorax breedeni,GYBR,Muraenidae,Muraenidae,Moray,PISCIVORE,Carnivore,NA,100,Reef,1,Piscivore,Nocturnal piscivore,Nocturnal piscivore,NA,NA,75,1,NA,NA,,,,
Amphiprion chrysopterus,AMCH,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,17,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,17,3,Pk,0,,,,
Abudefduf notatus,ABNO,Pomacentridae,NA,,PLANKTIVORE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Amphiprion clarkii,AMCL,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,15,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,14,3,Pk,0,,,,
Amphiprion melanopus,AMME,Pomacentridae,Pomacentridae,Damselfish,PLANKTIVORE,Planktivore,Planktivore,12,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,10.8,3,Pk,0,,,,
Canthigaster jactator,CAJA,Tetraodontidae,Tetraodontidae,Pufferfish,PRIMARY,Omnivore,Herb,9,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,9,2,H,0,,,,
Canthigaster janthinoptera,CAJN,Tetraodontidae,Tetraodontidae,Pufferfish,PRIMARY,Omnivore,Herb,9,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,9,2,H,0,,,,
Canthigaster coronata,CACO,Tetraodontidae,Tetraodontidae,Pufferfish,PRIMARY,Omnivore,Herb,11,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,14,2,H,0,,,,
Canthigaster valentini,CAVA,Tetraodontidae,Tetraodontidae,Pufferfish,PRIMARY,Omnivore,Herb,11,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,9,2,H,0,,,,
Canthigaster solandri,CASO,Tetraodontidae,Tetraodontidae,Pufferfish,PRIMARY,Omnivore,Herb,11.5,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,11,2,H,0,,,,
Cantherhines verecundus,CAVE,Monacanthidae,Monacanthidae,Filefish,PRIMARY,Omnivore,Herb,12.5,Reef,1,Micro-invertivore,,Benthic omnivore,OTH_HERB,OTH_HERB,16,1,H,0,,,,
Pervagor aspricaudus,PEAS,Monacanthidae,Monacanthidae,Filefish,SECONDARY,Omnivore,NA,13,Reef,1,Micro-invertivore,,Benthic omnivore,NA,NA,14,1,NA,NA,,,,
Lethrinus rubrioperculatus,LERU,Lethrinidae,Lethrinidae,Emperor,SECONDARY,Carnivore,NA,50,Reef,1,Pisci-invertivore,,Diurnal piscivore,NA,NA,39.5,4,NA,NA,,,,
Acanthurus mata,ACMT,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,NA,50,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,NA,NA,50,5,NA,NA,,,,
Caesio teres,CATE,Caesionidae,Caesionidae,Fusilier,PLANKTIVORE,Planktivore,Planktivore,40,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,PK,PK,40,5,Pk,0,,,,
Naso annulatus,NAAN,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,Planktivore,100,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,B ,PK,100,4,Pk,20,,,,
Naso brevirostris,NABR,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,Planktivore,60,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,B ,PK,60,5,Pk,20,,,,
Apogon exostigma,APEX,Apogonidae,NA,Cardinalfish,PLANKTIVORE,NA,Planktivore,NA,NA,NA,NA,,NA,PK,PK,NA,NA,Pk,0,,,,
Naso brevirostris,NABR,Acanthuridae,Acanthuridae,Surgeonfish,PLANKTIVORE,Planktivore,Planktivore,60,Reef,1,Planktivore,Diurnal planktivore,Diurnal planktivore,B ,PK,60,5,Pk,20,,,,
